fx1,fx2,fx3,fx4,fx5,y
368,431,425,232,394,"""شجره"""
312,260,170,44,331,"""صابون"""
383,303,227,39,493,"""تمر"""
395,348,420,283,496,"""طياره"""
350,272,390,299,469,"""يحلق"""
238,233,467,217,389,"""نكته"""
400,299,465,259,510,"""غبي"""
320,239,190,64,304,"""طفل"""
319,238,204,34,343,"""يلعب"""
406,448,432,208,412,"""كابوريا"""
379,235,173,333,494,"""توت"""
338,370,346,347,319,"""فلفل"""
382,288,231,110,269,"""ناموس"""
412,400,400,307,518,"""هون"""
320,282,245,48,493,"""ورده"""
368,218,261,69,480,"""ياسر"""
387,240,208,39,509,"""ا"""
318,224,205,370,410,"""ب"""
311,244,448,348,414,"""ت"""
254,466,477,251,403,"""ث"""
385,368,306,113,346,"""ج"""
373,468,420,233,406,"""نحن"""
413,466,416,219,493,"""ملك"""
301,167,167,287,494,"""هاجر"""
338,264,339,240,494,"""احمد"""
307,237,133,69,366,"""يوستينا"""
329,239,214,347,445,"""هنا"""
309,400,375,230,291,"""رنا"""
368,481,474,321,496,"""شجره"""
358,218,225,57,256,"""صابون"""
366,183,178,42,504,"""تمر"""
349,259,345,368,486,"""طياره"""
372,278,344,351,461,"""يحلق"""
319,260,447,183,294,"""نكته"""
379,268,448,249,504,"""غبي"""
372,311,234,16,299,"""طفل"""
341,183,148,35,272,"""يلعب"""
349,475,458,261,415,"""كابوريا"""
341,206,175,361,466,"""توت"""
400,224,167,268,400,"""فلفل"""
379,201,181,91,489,"""ناموس"""
418,399,378,143,536,"""هون"""
331,252,263,48,494,"""ورده"""
423,52,192,18,494,"""ياسر"""
