fx1,fx2,fx3,fx4,fx5,y
240,151,140,48,496,"""???"""
298,221,173,45,519,"""???"""
325,239,203,26,471,"""???"""
269,205,191,21,496,"""???"""
450,349,288,180,479,"""???"""
387,240,208,39,509,"""???"""
249,168,156,21,487,"""???"""
282,172,149,26,493,"""???"""
259,164,131,15,464,"""???"""
256,151,147,22,496,"""???"""
272,226,144,257,333,"""????"""
351,303,196,224,302,"""????"""
240,224,167,234,445,"""????"""
279,255,182,281,325,"""????"""
388,352,201,272,395,"""????"""
318,224,205,370,410,"""????"""
263,182,177,240,341,"""????"""
288,192,182,181,344,"""????"""
272,197,133,217,287,"""????"""
240,176,164,154,295,"""????"""
374,226,406,245,459,"""????"""
368,253,496,258,356,"""????"""
266,227,279,179,464,"""????"""
296,266,453,214,360,"""????"""
327,253,434,258,386,"""????"""
311,244,448,348,414,"""????"""
315,209,461,132,349,"""????"""
287,196,445,239,384,"""????"""
320,230,460,208,335,"""????"""
267,218,426,156,352,"""????"""
