fx1,fx2,fx3,fx4,fx5,y
287,196,445,239,384,"""?"""
341,435,455,289,439,"""?"""
436,359,328,123,270,"""?"""
432,406,397,149,338,"""?"""
430,438,417,170,320,"""?"""
257,175,173,207,479,"""?"""
271,227,359,238,479,"""?"""
333,251,262,112,323,"""?"""
336,302,373,240,383,"""?"""
401,450,451,229,354,"""?"""
399,464,450,216,429,"""?"""
323,202,241,46,399,"""?"""
274,144,144,11,479,"""?"""
308,242,421,230,507,"""?"""
335,225,413,317,478,"""?"""
288,154,459,241,381,"""?"""
321,240,455,258,438,"""?"""
308,206,210,26,485,"""?"""
327,197,266,82,341,"""?"""
400,445,421,193,339,"""?"""
289,157,141,230,480,"""?"""
390,318,271,52,275,"""?"""
264,171,172,157,471,"""?"""
400,368,383,234,478,"""?"""
304,222,225,29,395,"""?"""
375,247,219,79,484,"""?"""
